600,cpp,0.454,245683072.000,41258885.000
600,python,0.874,257959532.000,71669018.000
1000,cpp,2.831,1242111768.000,268783246.000
1000,python,4.562,1260131844.000,382168943.000
1400,cpp,6.979,3532005249.000,1528413321.000
1400,python,13.228,3608301972.000,2062030281.000
1800,cpp,28.910,9093318619.000,8419163798.000
1800,python,35.568,9202717112.000,10534648994.000
2200,cpp,63.012,17665854340.000,25591103419.000
2200,python,80.883,17857074102.000,28226969777.000
2600,cpp,110.216,30910761795.000,52024387602.000
2600,python,131.641,31254536907.000,58317160286.000
3000,cpp,189.377,50331810815.000,94117601661.000
3000,python,210.480,50738017385.000,104575688880.000